match_id,venue,innings,ball,batting_team,bowling_team,runs_off_bat,total_run,runs_6_overs,wickets_6_overs
335984,Arun Jaitley Stadium,1,1.5,Rajasthan Royals,Delhi Daredevils,4,122,38,2
335984,Arun Jaitley Stadium,1,1.6,Rajasthan Royals,Delhi Daredevils,4,122,38,2
335984,Arun Jaitley Stadium,1,2.1,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,2.2,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,2.3,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,2.4,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,2.5,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,2.6,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,3.1,Rajasthan Royals,Delhi Daredevils,1,122,38,2
335984,Arun Jaitley Stadium,1,3.2,Rajasthan Royals,Delhi Daredevils,4,122,38,2
335984,Arun Jaitley Stadium,1,3.3,Rajasthan Royals,Delhi Daredevils,4,122,38,2
335984,Arun Jaitley Stadium,1,3.4,Rajasthan Royals,Delhi Daredevils,1,122,38,2
335984,Arun Jaitley Stadium,1,3.5,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,3.6,Rajasthan Royals,Delhi Daredevils,4,122,38,2
335984,Arun Jaitley Stadium,1,4.1,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,4.2,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,4.3,Rajasthan Royals,Delhi Daredevils,1,122,38,2
335984,Arun Jaitley Stadium,1,4.4,Rajasthan Royals,Delhi Daredevils,4,122,38,2
335984,Arun Jaitley Stadium,1,4.5,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,4.6,Rajasthan Royals,Delhi Daredevils,1,122,38,2
335984,Arun Jaitley Stadium,1,5.1,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,5.2,Rajasthan Royals,Delhi Daredevils,1,122,38,2
335984,Arun Jaitley Stadium,1,5.3,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,5.4,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335984,Arun Jaitley Stadium,1,5.5,Rajasthan Royals,Delhi Daredevils,1,122,38,2
335984,Arun Jaitley Stadium,1,5.6,Rajasthan Royals,Delhi Daredevils,0,122,38,2
335985,Wankhede Stadium,1,0.1,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,0.2,Mumbai Indians,Royal Challengers Bangalore,4,154,41,3
335985,Wankhede Stadium,1,0.3,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,0.4,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,0.5,Mumbai Indians,Royal Challengers Bangalore,4,154,41,3
335985,Wankhede Stadium,1,0.6,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,1.1,Mumbai Indians,Royal Challengers Bangalore,1,154,41,3
335985,Wankhede Stadium,1,1.2,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,1.3,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,1.4,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,1.5,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,1.6,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,2.1,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,2.2,Mumbai Indians,Royal Challengers Bangalore,4,154,41,3
335985,Wankhede Stadium,1,2.3,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,2.4,Mumbai Indians,Royal Challengers Bangalore,1,154,41,3
335985,Wankhede Stadium,1,2.5,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,2.6,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,2.7,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,3.1,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
335985,Wankhede Stadium,1,3.2,Mumbai Indians,Royal Challengers Bangalore,1,154,41,3
335985,Wankhede Stadium,1,3.3,Mumbai Indians,Royal Challengers Bangalore,0,154,41,3
